date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01 00:00:00,30.6,23.6,,,,,,,,
2019-01-02 00:00:00,31.7,26.8,36.3,,,,,,,
2019-01-03 00:00:00,,,,,,,,,,
2019-01-04 00:00:00,,,,,,,,,,
2019-01-05 00:00:00,24.9,22.8,30.2,4.8,,,,,,
2019-01-06 00:00:00,,,,,,,,,,
2019-01-07 00:00:00,24.1,20.1,30.2,,,,,,,
2019-01-08 00:00:00,25.6,21,,,,,,,,
2019-01-09 00:00:00,29.9,23.7,,,,,,,,
2019-01-10 00:00:00,,,,,,,,,,
2019-01-11 00:00:00,23.9,20.7,30.2,27.2,,,,,,
2019-01-12 00:00:00,27.8,21.3,,,,,,,,
2019-01-13 00:00:00,28.6,23.9,,,,,,,,
2019-01-14 00:00:00,28.7,24.8,34.8,,,,,,,
2019-01-15 00:00:00,30.1,25.6,,,,,,,,
2019-01-16 00:00:00,31.3,25,,,,,,,,
2019-01-17 00:00:00,32.4,27.4,,,,,,,,
2019-01-18 00:00:00,,,,,,,,,,
2019-01-19 00:00:00,20.7,18.4,26,,,,,,,
2019-01-20 00:00:00,23.5,19,,,,,,,,
2019-01-21 00:00:00,26.6,19.7,,,,,,,,
2019-01-22 00:00:00,30.1,23.4,,,,,,,,
2019-01-23 00:00:00,32.8,26.5,,,,,,,,
2019-01-24 00:00:00,28.8,24,38.7,,,,,,,
2019-01-25 00:00:00,30.9,24.2,,,,,,,,
2019-01-26 00:00:00,32.4,26.7,,,,,,,,
2019-01-27 00:00:00,30.9,25.4,38.7,,,,,,,
2019-01-28 00:00:00,29.9,26,37.4,,,,,,,
2019-01-29 00:00:00,30.6,24.8,,,,,,,,
2019-01-30 00:00:00,31.2,25.1,,,,,,,,
2019-01-31 00:00:00,32.1,25.9,,,,,,,,
2019-02-01 00:00:00,31.9,26.6,,,,,,,,
2019-02-02 00:00:00,25.9,23.2,40,,,,,,,
2019-02-03 00:00:00,25.2,23,29,,,,,,,
2019-02-04 00:00:00,25.2,20,,,,,,,,
2019-02-05 00:00:00,24.2,18,30.5,,,,,,,
2019-02-06 00:00:00,25.7,18,,,,,,,,
2019-02-07 00:00:00,28.4,20.6,,,,,,,,
2019-02-08 00:00:00,30,21.5,,,,,,,,
2019-02-09 00:00:00,31.1,22.8,,,,,,,,
2019-02-10 00:00:00,26.1,22,40.8,34,,,,,,
