date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01 00:00:00,20.2,13.8,29.2,,,,,,,
2019-01-02 00:00:00,15.1,11.2,24.4,1,,,,,,
2019-01-03 00:00:00,,,,,,,,,,
2019-01-04 00:00:00,,,,,,,,,,
2019-01-05 00:00:00,21.1,,30.2,,,,,,,
2019-01-06 00:00:00,,,,,,,,,,
2019-01-07 00:00:00,19.3,8.9,28.4,,,,,,,
2019-01-08 00:00:00,18.1,12,23,,,,,,,
2019-01-09 00:00:00,15.8,12.4,23,,,,,,,
2019-01-10 00:00:00,,,,,,,,,,
2019-01-11 00:00:00,,,,,,,,,,
2019-01-12 00:00:00,23.3,16.3,31.4,,,,,,,
2019-01-13 00:00:00,,,,,,,,,,
2019-01-14 00:00:00,,,,,,,,,,
2019-01-15 00:00:00,25.4,17.5,36.6,,,,,,,
2019-01-16 00:00:00,20.7,16.6,32.4,,,,,,,
2019-01-17 00:00:00,,,,,,,,,,
2019-01-18 00:00:00,,,,,,,,,,
2019-01-19 00:00:00,,,,,,,,,,
2019-01-20 00:00:00,29.4,20.2,39.3,,,,,,,
2019-01-21 00:00:00,23.5,16,35.6,,,,,,,
2019-01-22 00:00:00,21.8,17,30.5,,,,,,,
2019-01-23 00:00:00,,,,,,,,,,
2019-01-24 00:00:00,,,,,,,,,,
2019-01-25 00:00:00,,,,,,,,,,
2019-01-26 00:00:00,18.9,9.5,26.4,,,,,,,
2019-01-27 00:00:00,,,,,,,,,,
2019-01-28 00:00:00,24.9,16.4,33,,,,,,,
2019-01-29 00:00:00,23.6,16.8,31.6,,,,,,,
2019-01-30 00:00:00,,,,,,,,,,
2019-01-31 00:00:00,,,,,,,,,,
2019-02-01 00:00:00,20.6,12.2,27.4,,,,,,,
2019-02-02 00:00:00,17.8,8.2,28.6,,,,,,,
2019-02-03 00:00:00,,,,,,,,,,
2019-02-04 00:00:00,,,,,,,,,,
2019-02-05 00:00:00,,,,,,,,,,
2019-02-06 00:00:00,26,19.2,38.6,,,,,,,
2019-02-07 00:00:00,17.5,11.2,30,,,,,,,
2019-02-08 00:00:00,,,,,,,,,,
2019-02-09 00:00:00,23.6,16,29.4,,,,,,,
2019-02-10 00:00:00,18.6,,29.6,,,,,,,
2019-02-11 00:00:00,13.2,8,18,0.3,,,,,,
2019-02-12 00:00:00,,,,,,,,,,
2019-02-13 00:00:00,21.6,16.4,28.8,,,,,,,
2019-02-14 00:00:00,,,,,,,,,,
2019-02-15 00:00:00,27.9,17.4,36,,,,,,,
2019-02-16 00:00:00,,,,,,,,,,
2019-02-17 00:00:00,29.8,22.1,41,,,,,,,
2019-02-18 00:00:00,23.7,19,38,,,,,,,
2019-02-19 00:00:00,19,10.2,30.6,,,,,,,
2019-02-20 00:00:00,22.3,13.5,31,,,,,,,
2019-02-21 00:00:00,16.9,11.8,27,,,,,,,
2019-02-22 00:00:00,14.8,8,22,,,,14.8,,1014.3,
2019-02-23 00:00:00,14.2,6,22.6,,,,20.1,,1007.4,
2019-02-24 00:00:00,11.9,9.5,16,,,,17.9,,1013.7,
2019-02-25 00:00:00,11.1,4.8,19.2,,,,18.2,,1017.6,
2019-02-26 00:00:00,13.7,3.8,22.4,,,,10.7,,1015.6,
2019-02-27 00:00:00,15.8,9.4,22.7,3,,,15.9,,1016.5,
2019-02-28 00:00:00,17.8,,,,,,18,,1011.2,
2019-03-01 00:00:00,16.8,13.2,25.2,4.1,,,11.9,,1007.8,
2019-03-02 00:00:00,18,9.3,26.8,,,,8.8,,1012.8,
2019-03-03 00:00:00,20.5,,,,,,12.6,,1005.6,
2019-03-04 00:00:00,18.7,13.9,23.4,,,,21,,1005.9,
2019-03-05 00:00:00,17.8,10.6,24,,,,20.6,,1009.2,
2019-03-06 00:00:00,22,,,,,,25.9,,995.2,
2019-03-07 00:00:00,16.1,8.2,26,0.8,,,13.9,,1008,
2019-03-08 00:00:00,14.1,5,23.6,,,,12.2,,1025.6,
2019-03-09 00:00:00,21.6,12,31.6,,,,17.6,,1022.6,
2019-03-10 00:00:00,25.1,16,34.8,,,,23.6,,1016.5,
2019-03-11 00:00:00,24.3,14.4,35.1,,,,25.4,,1011.8,
2019-03-12 00:00:00,15.5,9.5,31.4,,,,16.8,,1019.3,
2019-03-13 00:00:00,13.3,,21.3,,,,,,,
2019-03-14 00:00:00,14.4,12.7,17,18,,,28.3,,1015.7,
2019-03-15 00:00:00,16.9,,,,,,19.5,,1022,
2019-03-16 00:00:00,17.9,15,22,,,,14.2,,1019.8,
2019-03-17 00:00:00,20.8,15.2,27.3,,,,18.7,,1004.7,
2019-03-18 00:00:00,16.4,12.3,27.6,0,,,20.4,,1010,
2019-03-19 00:00:00,13.2,10.1,19.6,,,,11.3,,1022.2,
2019-03-20 00:00:00,13.8,6,22.2,,,,9.6,,1023.3,
2019-03-21 00:00:00,16.1,8.6,22.6,,,,,,,
2019-03-22 00:00:00,18.1,,,,,,14.2,,1011.4,
2019-03-23 00:00:00,17.8,13.1,24.5,0,,,20.7,,1010.3,
2019-03-24 00:00:00,13.9,9.9,20.8,,,,14.2,,1023.5,
2019-03-25 00:00:00,13.2,,,,,,9.2,,1024.4,
2019-03-26 00:00:00,15.5,6,25.1,,,,11.7,,1024.4,
2019-03-27 00:00:00,19.7,11.6,26.5,,,,29,,1019,
2019-03-28 00:00:00,22,16,29.6,,,,15.5,,1013.3,
2019-03-29 00:00:00,20.7,10.2,31,,,,12.2,,1008.2,
2019-03-30 00:00:00,21.1,11.9,31.4,,,,12.4,,1013.6,
2019-03-31 00:00:00,21.6,11.4,30.5,,,,10.1,,1011.2,
2019-04-01 00:00:00,20.8,12.5,31.8,,,,11.4,,1007.5,
2019-04-02 00:00:00,22,16.3,28.6,,,,22.7,,1008.1,
2019-04-03 00:00:00,17.1,9.5,26.2,,,,12.2,,1004.6,
2019-04-04 00:00:00,14.8,9.9,24,,,,15.6,,1008.5,
2019-04-05 00:00:00,15.4,6.7,24.4,,,,15.9,,1013.6,
2019-04-06 00:00:00,20,14.8,26,,,,15.8,,1010,
2019-04-07 00:00:00,17.4,11.4,26.3,,,,12.8,,1014.7,
2019-04-08 00:00:00,15.6,7.4,24.2,,,,12.7,,1013.1,
2019-04-09 00:00:00,18.8,11.4,25.8,,,,12.8,,1010.2,
2019-04-10 00:00:00,14.8,11.7,26.2,,,,12.1,,1022.2,
2019-04-11 00:00:00,14.8,,,,,,8.9,,1017.6,
2019-04-12 00:00:00,17,5,28.8,,,,15.4,,1003.4,
2019-04-13 00:00:00,16.8,8.1,29.4,,,,27.8,,1001.8,
2019-04-14 00:00:00,13.2,6.7,21,0,,,21.7,,1010.9,
2019-04-15 00:00:00,12.1,4.8,20.8,,,,13.4,,1017.8,
2019-04-16 00:00:00,16.3,10.8,22.6,,,,13.7,,1005.9,
2019-04-17 00:00:00,17.8,8.2,22.8,,,,18.8,,1007.1,
2019-04-18 00:00:00,12.9,4.7,21.4,,,,14,,1008.2,
2019-04-19 00:00:00,11.9,6.2,20.4,,,,10.5,,1011.7,
2019-04-20 00:00:00,13,4.2,23.6,,,,8,,1017.1,
2019-04-21 00:00:00,12.6,3.5,24,,,,8.1,,1019.6,
2019-04-22 00:00:00,14.5,6.6,23.4,,,,11.2,,1015.2,
2019-04-23 00:00:00,12.1,8.1,23.6,,,,13.5,,1021.5,
2019-04-24 00:00:00,11.3,4,20.5,,,,13.8,,1024.1,
2019-04-25 00:00:00,16.8,12.8,24,,,,22,,1023.5,
2019-04-26 00:00:00,16.7,13.2,24,,,,17,,1017.7,
2019-04-27 00:00:00,15.2,10.1,23.2,,,,5.5,,1009,
2019-04-28 00:00:00,13.9,8.9,21,0,,,15.8,,1004.9,
2019-04-29 00:00:00,13.2,10.3,20.6,,,,30.8,,1009,
2019-04-30 00:00:00,9.1,0.1,17,,,,14.2,,1014.8,
2019-05-01 00:00:00,12.7,,,,,,16.8,,1000.2,
2019-05-02 00:00:00,9.7,3.9,19.5,3,,,13.8,,999.1,
2019-05-03 00:00:00,6.4,,,,,,9.5,,1011.2,
2019-05-04 00:00:00,10.1,4.6,17.8,,,,11.2,,1010.5,
2019-05-05 00:00:00,12.2,6.6,20,,,,14,,1015.5,
2019-05-06 00:00:00,11.2,3.6,21,,,,14.5,,1022.2,
2019-05-07 00:00:00,15.6,3.7,21.3,,,,15.2,,1017.7,
2019-05-08 00:00:00,9.1,2.9,21,,,,7.6,,1018.3,
2019-05-09 00:00:00,12.7,8.8,17.4,,,,11,,1012.2,
2019-05-10 00:00:00,10.2,5.1,18,,,,10.5,,1013.8,
2019-05-11 00:00:00,14.7,7,23.8,,,,15,,1006,
2019-05-12 00:00:00,17.1,10.7,24.3,,,,21.1,,1006.2,
2019-05-13 00:00:00,12.3,5.9,23,,,,20,,1024.5,
2019-05-14 00:00:00,12.6,5.8,19.2,,,,19.5,,1020.3,
2019-05-15 00:00:00,12.7,6,21.4,,,,9.7,,1017.8,
2019-05-16 00:00:00,14.3,5.7,21.9,,,,18.4,,1009,
2019-05-17 00:00:00,17.1,12.2,23.2,,,,29.8,,1002.8,
2019-05-18 00:00:00,12.2,3.3,23.2,,,,17.9,,1013.4,
2019-05-19 00:00:00,9.2,1,18.4,,,,9.4,,1018.2,
2019-05-20 00:00:00,5.2,-2.7,15.4,,,,8.8,,1027.1,
2019-05-21 00:00:00,5.4,-3,16.4,,,,8.5,,1026.5,
2019-05-22 00:00:00,8.1,-1.4,18.8,,,,12.4,,1017.4,
2019-05-23 00:00:00,13.6,9.2,20.6,,,,13.4,,1013.2,
2019-05-24 00:00:00,9.9,3.9,21,,,,9.4,,1007.3,
2019-05-25 00:00:00,11.1,4.1,20,,,,8.9,,1005.8,
2019-05-26 00:00:00,7.4,2.2,19,,,,10.1,,1013.9,
2019-05-27 00:00:00,7,0.6,12.8,,,,11.2,,1009.3,
2019-05-28 00:00:00,5.8,-0.2,13,0,,,10.8,,1016.8,
2019-05-29 00:00:00,2,-4.4,12.2,,,,6.4,,1022.8,
2019-05-30 00:00:00,1.5,-4.5,12.2,0,,,11.1,,1020.8,
2019-05-31 00:00:00,6,1,12.8,,,,7.7,,1011.8,
2019-06-01 00:00:00,5.7,-0.6,13,0,,,7.1,,1008.6,
2019-06-02 00:00:00,8.9,3.2,17.2,,,,14.1,,1013.4,
