date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01 00:00:00,28.5,24.5,33,19.1,,,8.2,,1006.8,
2019-01-02 00:00:00,31.1,27.5,35,11.9,,,15.4,,1005.7,
2019-01-03 00:00:00,26.9,23,30.2,,,,18.7,,1007.8,
2019-01-04 00:00:00,23.3,21.7,25,,,,10.9,,1010.5,
2019-01-05 00:00:00,27.3,21.5,32.5,11.9,,,8,,1009,
2019-01-06 00:00:00,26.5,24,29,,,,14.9,,1004.6,
2019-01-07 00:00:00,24.1,19.5,29.5,41.9,,,14,,1003.8,
2019-01-08 00:00:00,24.6,20.6,,2,,,13,,1007.4,
2019-01-09 00:00:00,27.6,21.5,33.2,47,,,18.8,,1004.5,
2019-01-10 00:00:00,20.6,19,22.5,,,,19.5,,1010.7,
2019-01-11 00:00:00,23.2,19.5,27.1,49,,,11,,1014.3,
2019-01-12 00:00:00,25.9,22,31,0,,,10.7,,1011.7,
2019-01-13 00:00:00,26.4,23.3,32.2,10.9,,,9.3,,1010.4,
2019-01-14 00:00:00,25.9,24.2,32.6,5.1,,,7.8,,1010.7,
2019-01-15 00:00:00,27.9,24.8,33.1,0.3,,,12,,1008.5,
2019-01-16 00:00:00,27.1,23.2,34.1,53.1,,,9.9,,1009.1,
2019-01-17 00:00:00,30.4,24.5,36,7.1,,,16.4,,1008.1,
2019-01-18 00:00:00,22.4,,,,,,19.8,,1012.6,
2019-01-19 00:00:00,20.2,18,22.1,26.9,,,15.9,,1017.6,
2019-01-20 00:00:00,22.4,18.8,27,0,,,7.6,,1014.2,
2019-01-21 00:00:00,25.5,19,32,,,,5.6,,1012.3,
2019-01-22 00:00:00,29.4,23.6,36,,,,10.7,,1010.6,
2019-01-23 00:00:00,30.9,26,37,,,,12.9,,1009.8,
2019-01-24 00:00:00,28.8,24.3,37.5,,,,11.8,,1010.9,
2019-01-25 00:00:00,30.7,25.5,35.2,,,,10.2,,1009,
2019-01-26 00:00:00,31.6,27.4,37,,,,9.6,,1009.4,
2019-01-27 00:00:00,28.6,25,34.6,,,,8.2,,1009.4,
2019-01-28 00:00:00,29.3,24.6,35.2,20.1,,,12.4,,1009.8,
2019-01-29 00:00:00,30.1,26.4,34.1,0,,,18.1,,1010.1,
2019-01-30 00:00:00,30.4,25,35,,,,17.5,,1009.4,
2019-01-31 00:00:00,31.7,27,37,,,,12.9,,1009,
2019-02-01 00:00:00,29,23,35,,,,13.2,,1010.1,
2019-02-02 00:00:00,24.7,22.5,35.7,26.9,,,10.2,,1014.8,
2019-02-03 00:00:00,24.3,22.5,27,20.1,,,14.1,,1017.4,
2019-02-04 00:00:00,23.2,19,28,0,,,15.1,,1017.6,
2019-02-05 00:00:00,23.2,18,30,,,,11.3,,1015.2,
2019-02-06 00:00:00,25.3,19,31,,,,7.3,,1010.9,
2019-02-07 00:00:00,26.9,20.6,34,,,,4.5,,1007.6,
2019-02-08 00:00:00,28.6,21.6,36,,,,7.9,,1006.7,
2019-02-09 00:00:00,28.4,22,36,,,,12.2,,1006.8,
2019-02-10 00:00:00,27.3,22,36.5,40.9,,,,,,
2019-02-11 00:00:00,27.3,23.8,34,,,,11.4,,1004.9,
2019-02-12 00:00:00,22.9,20.4,34.5,26.9,,,21.5,,1017.9,
2019-02-13 00:00:00,21,15.4,27,0,,,11.6,,1016.3,
2019-02-14 00:00:00,23.3,18.4,29,,,,9.8,,1012.5,
2019-02-15 00:00:00,24.4,20,29,,,,15.7,,1011.4,
2019-02-16 00:00:00,23.9,18.7,29,,,,14.8,,1011.5,
2019-02-17 00:00:00,25.5,20.8,31,,,,10.9,,1009.8,
2019-02-18 00:00:00,26.7,21.8,32,,,,5.5,,1008,
2019-02-19 00:00:00,27.8,21.9,33.5,,,,2.4,,1007.4,
