date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01 00:00:00,29,22.6,33.3,,,,,,,
2019-01-02 00:00:00,,,,,,,,,,
2019-01-03 00:00:00,23.2,20.1,35.8,27.9,,,,,,
2019-01-04 00:00:00,,,,,,,,,,
2019-01-05 00:00:00,,,,,,,,,,
2019-01-06 00:00:00,26.1,,31.2,2,,,,,,
2019-01-07 00:00:00,22.7,18.9,31.3,9.9,,,,,,
2019-01-08 00:00:00,25.4,21.4,28.8,0,,,,,,
2019-01-09 00:00:00,23.9,,28.3,,,,,,,
2019-01-10 00:00:00,20.2,17.9,27.4,,,,,,,
2019-01-11 00:00:00,,,,,,,,,,
2019-01-12 00:00:00,,,,,,,,,,
2019-01-13 00:00:00,23.3,,29.4,3,,,,,,
2019-01-14 00:00:00,,,,,,,,,,
2019-01-15 00:00:00,22.8,,27.5,37.1,,,,,,
2019-01-16 00:00:00,,,,,,,,,,
2019-01-17 00:00:00,23.8,21.6,29.9,0,,,,,,
2019-01-18 00:00:00,18.4,15.1,26,17,,,,,,
2019-01-19 00:00:00,,,,,,,,,,
2019-01-20 00:00:00,,,,,,,,,,
2019-01-21 00:00:00,,,,,,,,,,
2019-01-22 00:00:00,,,,,,,,,,
2019-01-23 00:00:00,25.4,,32.6,55.1,,,,,,
2019-01-24 00:00:00,,,,,,,,,,
2019-01-25 00:00:00,27.3,,32.5,0,,,,,,
2019-01-26 00:00:00,24.2,22.6,33,5.1,,,,,,
2019-01-27 00:00:00,,,,,,,,,,
2019-01-28 00:00:00,,,,,,,,,,
2019-01-29 00:00:00,30.7,26.8,33.7,,,,,,,
2019-01-30 00:00:00,25.7,21.4,34.2,24.9,,,,,,
2019-01-31 00:00:00,23.5,,27,6.1,,,,,,
2019-02-01 00:00:00,,,,,,,,,,
2019-02-02 00:00:00,,,,,,,,,,
2019-02-03 00:00:00,20.6,14.4,30,,,,,,,
2019-02-04 00:00:00,,,,,,,,,,
2019-02-05 00:00:00,21.6,14.8,26.8,,,,,,,
2019-02-06 00:00:00,,,,,,,,,,
2019-02-07 00:00:00,,,,,,,,,,
