indice_tiempo,produccion_gas_natural,total,residencial,comercial,entes_oficiales,industria,centrales_electricas,sdb,gnc,metrogas,gas_natural_fenosa,distrib_gas_del_centro_ecogas,distrib_gas_cuyana_ecogas,litoral_gas,gasnea,redengas,gasnor,camuzzi_gas_pampeana,camuzzi_gas_del_sur
1996-01-01,2504.98,1913.116,211.996,42.534,8.783,605.413,803.185,12.203,85.856,496.604,150.44,90.166,99.731,180.638,0.0,1.343,135.642,413.012,345.54
1996-02-01,2325.37,1731.663,216.713,43.851,9.499,626.625,656.703,14.482,75.903,398.279,168.594,84.35,95.175,168.693,0.0,1.439,137.112,350.583,327.438
1996-03-01,2735.07,2018.787,225.193,56.13,16.476,669.272,832.398,15.871,80.857,503.75,177.37,92.186,111.341,184.743,0.0,1.587,140.103,424.864,382.843
1996-04-01,2584.15,1935.116,351.159,73.16,17.779,658.115,612.963,18.109,88.107,458.635,200.311,98.59,93.188,192.93,0.0,1.591,125.108,350.836,413.927
1996-05-01,3006.48,2304.546,572.829,75.569,23.653,645.976,748.281,22.857,91.773,562.713,259.457,112.201,115.219,237.872,0.0,2.073,141.535,438.767,434.709
1996-06-01,3300.45,2601.3,933.705,124.869,37.607,634.448,623.267,33.621,91.801,628.611,353.237,133.14,131.945,223.846,0.0,3.293,168.572,464.426,494.23
1996-07-01,3444.13,2812.419,1116.077,138.57,37.284,659.517,597.608,39.507,94.91,705.811,398.55,141.131,134.632,223.061,0.0,4.514,195.621,481.559,527.54
1996-08-01,3157.73,2522.663,726.739,112.26,32.853,683.032,719.79,27.494,93.497,595.657,293.511,120.751,109.522,251.081,0.0,2.609,188.515,447.323,513.694
1996-09-01,3172.15,2466.954,607.052,96.687,25.775,718.76,781.06,22.992,91.376,629.643,286.863,123.854,109.556,248.684,0.0,2.534,189.153,441.146,435.521
1996-10-01,2791.9,2152.582,377.468,59.7,17.904,706.36,748.962,15.108,97.108,500.026,218.384,103.674,103.487,246.789,0.0,2.052,197.764,375.117,405.289
1996-11-01,2730.48,1955.893,265.339,51.197,13.081,655.872,741.77,11.216,96.149,397.117,196.643,96.736,93.703,243.71,0.0,1.862,180.853,376.735,368.534
1996-12-01,2896.85,2030.946,238.832,49.807,11.503,646.987,846.839,11.019,104.509,433.947,185.394,113.937,94.244,249.701,0.0,1.814,196.88,371.375,383.654
1997-01-01,2969.282036699999,2093.626,198.317,40.469,8.961,620.44,1000.455,11.06,93.533,489.032,165.352,111.146,116.415,248.161,0.0,1.55,192.283,407.469,362.218
1997-02-01,2755.3278935000008,1881.045,201.257,46.286,11.537,608.378,807.345,12.719,85.464,387.317,162.71,100.212,106.636,225.461,0.0,1.561,170.437,379.787,346.924
1997-03-01,3000.3203472999985,2018.356,252.665,57.053,11.776,676.517,856.176,13.722,98.946,409.354,191.824,107.96,121.582,254.25,0.0,1.84,174.601,355.255,401.69
1997-04-01,3101.4832659,2295.219,326.813,67.712,15.12,699.939,949.555,16.129,102.001,526.37,218.936,118.581,121.888,260.793,0.0,1.99,192.253,432.326,422.082
1997-05-01,3385.94652906,2622.098,575.732,90.524,22.648,721.995,952.38,23.609,105.814,624.269,275.413,146.042,124.358,258.061,0.0,2.527,225.375,462.013,504.04
1997-06-01,3412.905575,2817.329,911.897,120.214,37.385,732.619,731.737,36.902,104.852,634.711,371.617,154.91,141.726,243.062,0.0,3.524,238.294,484.8,527.59
1997-07-01,3435.1206325499984,2787.129,941.901,130.013,33.161,745.638,652.785,38.58,109.031,591.03,376.997,137.155,145.684,280.997,0.0,3.884,257.762,470.104,518.846
1997-08-01,3282.28973865,2497.152,827.223,110.513,31.704,714.05,539.029,33.424,112.277,489.537,336.589,133.561,139.846,287.731,0.0,3.36,246.969,464.604,391.824
