date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01 00:00:00,24,20.3,30.1,,,,5.2,,1010.4,
2019-01-02 00:00:00,26.9,21.8,33,3,,,8,,1007.6,
2019-01-03 00:00:00,22.4,19,26.6,,,,12.1,,1012.8,
2019-01-04 00:00:00,22.8,18.8,29,39.1,,,5.8,,1012.8,
2019-01-05 00:00:00,24.5,20.3,30,0,,,5.7,,1011.7,
2019-01-06 00:00:00,26.2,22,31,,,,5.1,,1005.8,
2019-01-07 00:00:00,24.2,19.8,32.1,,,,9,,1006.6,
2019-01-08 00:00:00,24.2,17.3,31,,,,7,,1008.1,
2019-01-09 00:00:00,25.6,20.6,32,,,,6.4,,1005.5,
2019-01-10 00:00:00,21.3,17,23.2,,,,17.7,,1013,
2019-01-11 00:00:00,18.9,16.3,23.4,9.9,,,6.9,,1018.2,
2019-01-12 00:00:00,20.1,16.5,26,2,,,7.4,,1015,
2019-01-13 00:00:00,22.6,18.3,29,0,,,5.9,,1013.3,
2019-01-14 00:00:00,22.4,20.4,29.1,,,,8.1,,1013.6,
2019-01-15 00:00:00,21.1,19,24,,,,9.6,,1013.2,
2019-01-16 00:00:00,22.7,18.8,29,4.1,,,7.4,,1012.9,
2019-01-17 00:00:00,23.4,18,31.2,,,,13,,1013,
2019-01-18 00:00:00,18,15.7,31.6,16,,,15.8,,1021.6,
2019-01-19 00:00:00,19.1,15.8,22,0,,,7.7,,1022.2,
2019-01-20 00:00:00,20.1,16.8,25,2,,,7.8,,1017.5,
2019-01-21 00:00:00,23.1,17.9,29,0,,,4.8,,1014.3,
2019-01-22 00:00:00,25.2,17.8,32,,,,8.9,,1011.9,
2019-01-23 00:00:00,27.8,20.9,36,,,,9.3,,1011.4,
2019-01-24 00:00:00,28.9,22.2,36.1,,,,12.2,,1012.8,
2019-01-25 00:00:00,28.3,21.6,36.1,,,,13.1,,1010.7,
2019-01-26 00:00:00,27.3,21.8,36,,,,12.7,,1013.6,
2019-01-27 00:00:00,25.3,20.8,36.5,,,,8.7,,1014.8,
2019-01-28 00:00:00,25.9,20.2,33,,,,8.4,,1013.2,
2019-01-29 00:00:00,26.2,19.8,34.6,,,,11,,1011.5,
2019-01-30 00:00:00,24.6,20,33,,,,8.1,,1011.4,
2019-01-31 00:00:00,23.5,19.4,34.1,7.1,,,9.7,,1012.1,
2019-02-01 00:00:00,22.1,19.2,30.7,29,,,9.7,,1014,
2019-02-02 00:00:00,21.7,19,25,,,,13.3,,1016.8,
2019-02-03 00:00:00,20.6,17.8,25.3,4.1,,,10.1,,1024.1,
2019-02-04 00:00:00,21.1,16.4,26,0,,,7.9,,1022.1,
2019-02-05 00:00:00,21.2,18,26,,,,6.4,,1019.7,
2019-02-06 00:00:00,21.4,15.4,29,,,,8.8,,1015.2,
2019-02-07 00:00:00,24.4,17.8,31,,,,7.2,,1010.5,
2019-02-08 00:00:00,25.2,19,32,,,,10.8,,1010.8,
2019-02-09 00:00:00,25.2,20,33.1,18,,,10.4,,1011.3,
2019-02-10 00:00:00,24.5,19.6,33.1,0.3,,,6.1,,1010,
2019-02-11 00:00:00,26.6,20,35,0,,,6.9,,1007.7,
2019-02-12 00:00:00,17.8,14.8,21.4,25.9,,,19.1,,1024.5,
2019-02-13 00:00:00,16.1,13,20,0,,,8.5,,1019.4,
2019-02-14 00:00:00,20.1,13.3,27,3,,,4.4,,1017.9,
2019-02-15 00:00:00,23.2,14.8,31,0,,,7.8,,1017.7,
2019-02-16 00:00:00,22.3,16,28,,,,7.9,,1017.1,
2019-02-17 00:00:00,23.6,18.7,30,,,,6.7,,1014.9,
2019-02-18 00:00:00,23.7,16.7,30.1,,,,6.8,,1012,
2019-02-19 00:00:00,24.7,18.3,32,,,,8.6,,1012.3,
2019-02-20 00:00:00,24.9,17.4,32.3,,,,8.4,,1012.5,
2019-02-21 00:00:00,26.6,20.6,34,,,,3.4,,1011.6,
2019-02-22 00:00:00,27.6,20.4,34.8,,,,4.8,,1011.2,
2019-02-23 00:00:00,27.6,20.3,34.5,,,,9.2,,1007.9,
2019-02-24 00:00:00,27.6,19.3,35.6,,,,8.5,,1005.4,
2019-02-25 00:00:00,21.8,17.4,26,,,,14,,1010.2,
2019-02-26 00:00:00,18.1,16.4,26.7,4.1,,,11.4,,1018.6,
2019-02-27 00:00:00,18.3,16,21.2,2,,,6.1,,1018.8,
2019-02-28 00:00:00,20.3,13.3,27.7,0,,,9.6,,1018.7,
2019-03-01 00:00:00,21.1,15.4,28.1,,,,8.2,,1013.7,
2019-03-02 00:00:00,23.9,17.3,31.5,,,,9.3,,1014.4,
2019-03-03 00:00:00,24.7,18,33.1,0,,,12.8,,1012.3,
2019-03-04 00:00:00,26.8,19.5,33.7,,,,10.1,,1007.6,
2019-03-05 00:00:00,23.6,20.8,33.8,14,,,10,,1013.6,
2019-03-06 00:00:00,22.7,19.3,29.1,17,,,6.8,,1012.8,
2019-03-07 00:00:00,24.7,20.3,30.4,0,,,7.2,,1008.8,
2019-03-08 00:00:00,22.4,17.6,29.1,,,,19.7,,1013.3,
2019-03-09 00:00:00,17.3,14.7,21.4,,,,14.2,,1023.4,
2019-03-10 00:00:00,15.8,12.6,21.6,7.1,,,9.8,,1022.3,
2019-03-11 00:00:00,17.4,12.9,22.4,6.1,,,8.5,,1016.5,
2019-03-12 00:00:00,19.4,14.8,25.4,0.3,,,6.8,,1015.8,
2019-03-13 00:00:00,20.9,15,28,,,,7.2,,1016,
2019-03-14 00:00:00,19.7,13.8,28.3,,,,9.4,,1014.7,
2019-03-15 00:00:00,20.6,17.8,27.1,0,,,4.2,,1015,
2019-03-16 00:00:00,21.7,18.8,26.4,3,,,9,,1013.6,
2019-03-17 00:00:00,19.6,17.8,26.6,6.1,,,10.3,,1013.3,
2019-03-18 00:00:00,20.3,16.8,25.2,5.1,,,5.6,,1014.4,
2019-03-19 00:00:00,20.5,18,25.9,0,,,5.1,,1013.8,
2019-03-20 00:00:00,15.9,13.6,20,,,,14.5,,1021.6,
2019-03-21 00:00:00,13.9,11.4,17.8,,,,8.8,,1021.5,
2019-03-22 00:00:00,15.7,12.2,19.6,0,,,5.5,,1019.1,
2019-03-23 00:00:00,17.4,10.8,23.4,,,,6,,1017.9,
2019-03-24 00:00:00,19.3,12,28.2,,,,6.2,,1017.7,
2019-03-25 00:00:00,20.1,14.6,28.7,,,,5.8,,1018.3,
2019-03-26 00:00:00,15.4,13.8,18.2,,,,14.8,,1021.3,
2019-03-27 00:00:00,12.9,11.8,14.4,,,,6.4,,1025,
2019-03-28 00:00:00,14.5,11.3,18.8,4.1,,,4.2,,1022.8,
2019-03-29 00:00:00,17.5,13,22.8,0.3,,,4.4,,1019.5,
2019-03-30 00:00:00,20.2,15.3,25.8,2,,,5.5,,1014.8,
2019-03-31 00:00:00,22.4,17.6,26.3,0,,,8.6,,1013.3,
2019-04-01 00:00:00,22.7,20,26.6,0,,,8,,1012.7,
2019-04-02 00:00:00,22.3,19.3,28.2,,,,12,,1015.3,
2019-04-03 00:00:00,22.3,16.8,28.5,2,,,5.3,,1014.7,
2019-04-04 00:00:00,22.6,17.7,28.6,0,,,9.6,,1007.6,
2019-04-05 00:00:00,16.7,12.1,28.1,27.9,,,12.7,,1022.1,
2019-04-06 00:00:00,15.3,8.8,23.2,6.1,,,6.6,,1022.8,
2019-04-07 00:00:00,17.1,9.8,26.8,0,,,9.3,,1022.5,
2019-04-08 00:00:00,17.4,10.4,25.1,,,,8.5,,1019.7,
2019-04-09 00:00:00,16.9,10.8,25.8,,,,8,,1015.1,
2019-04-10 00:00:00,20.6,12.2,24.7,,,,5.7,,1016,
2019-04-11 00:00:00,19.1,16.3,24.8,0,,,11.8,,1020.9,
2019-04-12 00:00:00,17.6,15.8,24.6,4.1,,,6.4,,1018.4,
2019-04-13 00:00:00,17.7,11.7,24.5,0,,,7.5,,1012.4,
2019-04-14 00:00:00,19.3,12.3,27.5,,,,9.5,,1013.7,
2019-04-15 00:00:00,21.3,15.3,28.9,,,,8.3,,1017.1,
2019-04-16 00:00:00,21,18.2,29.6,,,,8.5,,1020.4,
2019-04-17 00:00:00,19.3,15.8,23.8,,,,5.3,,1015.3,
2019-04-18 00:00:00,20.4,17.4,24.8,,,,6.9,,1012.7,
2019-04-19 00:00:00,22.3,16.8,28.7,0.8,,,6,,1011.2,
2019-04-20 00:00:00,23.3,19.3,29.1,0,,,7.7,,1013,
2019-04-21 00:00:00,22.2,19,29.8,7.1,,,9.5,,1013.9,
2019-04-22 00:00:00,17.2,13.8,19.4,,,,12.2,,1015.6,
2019-04-23 00:00:00,14.2,11.8,19.5,6.1,,,5.9,,1018.8,
2019-04-24 00:00:00,14.3,12.5,16.4,3,,,6.2,,1018,
2019-04-25 00:00:00,15.6,13,19,2,,,6.9,,1018.6,
2019-04-26 00:00:00,16.2,13.8,19.6,4.1,,,7.5,,1019,
2019-04-27 00:00:00,17.4,12.3,23.2,0,,,6.2,,1018.5,
2019-04-28 00:00:00,16.1,9.4,23.3,,,,9.4,,1015.4,
2019-04-29 00:00:00,17.4,12.9,23.6,,,,6.9,,1013.1,
2019-04-30 00:00:00,18.4,16,22.1,0,,,10.5,,1017.8,
2019-05-01 00:00:00,16.3,11.9,21.1,0.3,,,6.1,,1019,
2019-05-02 00:00:00,17,14.4,22.4,,,,4.4,,1010.6,
2019-05-03 00:00:00,19.2,10.4,26,,,,6.9,,1008.7,
2019-05-04 00:00:00,19.7,13.1,26.6,,,,5.7,,1011.7,
2019-05-05 00:00:00,20,12.8,28.4,,,,6.9,,1013.9,
2019-05-06 00:00:00,21.5,15.4,29.1,,,,8.1,,1019.9,
2019-05-07 00:00:00,18.2,16.4,27.3,0,,,7,,1017.3,
2019-05-08 00:00:00,18.6,16.5,21.6,0.3,,,5.1,,1015.8,
2019-05-09 00:00:00,19.6,17.4,23.2,,,,3.9,,1009.1,
2019-05-10 00:00:00,18.4,16.4,23.7,0,,,13.4,,1012.2,
2019-05-11 00:00:00,15,13,17.2,,,,10.7,,1020.5,
2019-05-12 00:00:00,13.4,5.3,21.5,,,,8.8,,1022.1,
2019-05-13 00:00:00,13.7,6.6,23.8,,,,8.7,,1024.1,
2019-05-14 00:00:00,14.7,8.2,24.1,,,,9.4,,1026.9,
2019-05-15 00:00:00,14.7,9.5,23.1,,,,5.6,,1024.7,
2019-05-16 00:00:00,13.4,7.2,21.1,,,,6.4,,1021.1,
2019-05-17 00:00:00,14.6,9.4,20.7,,,,6.2,,1014.8,
2019-05-18 00:00:00,16.5,13,21.1,,,,8.4,,1014.7,
2019-05-19 00:00:00,15,9.4,20.6,,,,9.5,,1018,
2019-05-20 00:00:00,13.7,8.9,21.1,0,,,2.9,,1014.5,
2019-05-21 00:00:00,15.4,11.7,18.6,0,,,12.8,,1018.1,
2019-05-22 00:00:00,9.7,8,19.1,1,,,15.5,,1021.8,
2019-05-23 00:00:00,10.7,6.3,17.6,0,,,7.8,,1023.5,
2019-05-24 00:00:00,10.7,2.6,21,0,,,9.8,,1020.5,
2019-05-25 00:00:00,10.4,3.5,21.6,,,,10.1,,1013.8,
2019-05-26 00:00:00,12.6,5.2,23.1,,,,9.7,,1010.3,
2019-05-27 00:00:00,13,7,23.2,,,,8.4,,1012.6,
2019-05-28 00:00:00,13.7,8.8,18.8,,,,4.4,,1015.9,
2019-05-29 00:00:00,14.3,12.8,18.7,0,,,5,,1015.4,
2019-05-30 00:00:00,14.4,12.5,17.3,,,,4.1,,1013.7,
2019-05-31 00:00:00,14.2,11.8,17.5,,,,4.4,,1015.9,
2019-06-01 00:00:00,14.4,10,19.8,,,,6.3,,1017.5,
2019-06-02 00:00:00,13.4,9.3,20.2,0,,,7,,1022,
2019-06-03 00:00:00,12.6,7.3,20.6,,,,7.2,,1025.6,
2019-06-04 00:00:00,11.9,5.9,21.1,,,,9,,1022.4,
2019-06-05 00:00:00,13.8,8.8,22.1,,,,8.5,,1016.2,
2019-06-06 00:00:00,14.9,7.7,24.5,,,,9.7,,1009.7,
2019-06-07 00:00:00,15.4,10.4,25.1,,,,13.4,,1018.2,
2019-06-08 00:00:00,14.1,8.8,19,,,,4.7,,1021.1,
2019-06-09 00:00:00,11.5,5.4,18.2,,,,8.1,,1016.5,
2019-06-10 00:00:00,13.9,7.3,24,,,,9.9,,1013.8,
2019-06-11 00:00:00,14.7,8.8,24.1,,,,10,,1013.9,
2019-06-12 00:00:00,15.4,8.3,25.1,,,,9.4,,1010.3,
2019-06-13 00:00:00,15.6,9.8,25.6,,,,9.5,,1010.5,
2019-06-14 00:00:00,17.3,11,23.7,,,,6.9,,1013.5,
2019-06-15 00:00:00,13.4,10.1,15.7,,,,8.6,,1016,
2019-06-16 00:00:00,9.2,7.9,14.6,7.1,,,9,,1022.6,
2019-06-17 00:00:00,7.8,6.3,9.1,,,,4.1,,1019.6,
2019-06-18 00:00:00,9.2,4.6,16.6,,,,8.1,,1018,
2019-06-19 00:00:00,9.8,2.5,21,,,,10,,1023.6,
2019-06-20 00:00:00,9.3,2.2,21.4,,,,10.1,,1021.9,
2019-06-21 00:00:00,10.9,3.3,21,,,,9.6,,1017.2,
2019-06-22 00:00:00,15.6,6,23.7,,,,11.4,,1018.9,
2019-06-23 00:00:00,16.9,9.8,27.5,,,,10.4,,1014.2,
2019-06-24 00:00:00,16.9,9,28.1,,,,11.2,,1006.2,
2019-06-25 00:00:00,11.3,7.4,17.2,,,,21.8,,1013.6,
2019-06-26 00:00:00,7.6,-0.8,17.6,,,,7.3,,1016.8,
2019-06-27 00:00:00,8.6,1.6,18.7,,,,8.2,,1009.1,
2019-06-28 00:00:00,13,3.5,28.8,,,,7.9,,1005.5,
2019-06-29 00:00:00,14.5,8.8,29.1,,,,8.3,,1009.3,
2019-06-30 00:00:00,14.3,9.8,23.1,0,,,10.4,,1018,
