date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01 00:00:00,24.3,19.6,32,,,,16.5,,1006.8,
2019-01-02 00:00:00,22.4,17.3,32.5,,,,21.5,,1008.7,
2019-01-03 00:00:00,20.5,11,29.5,,,,12.6,,1011.9,
2019-01-04 00:00:00,23.9,14.6,32.2,,,,14.4,,1010.4,
2019-01-05 00:00:00,25.7,17.7,34.7,,,,22.9,,1006.5,
2019-01-06 00:00:00,21.6,17.9,35.5,,,,11,,1003.7,
2019-01-07 00:00:00,24.5,18.2,32,,,,14.3,,1001.9,
2019-01-08 00:00:00,24,18,32.8,,,,15.2,,1005.7,
2019-01-09 00:00:00,20.9,15.4,28.8,,,,22.8,,1010.1,
2019-01-10 00:00:00,15.7,9.2,25.3,,,,14.5,,1019.6,
2019-01-11 00:00:00,19.4,10.9,26.7,,,,23.2,,1016.4,
2019-01-12 00:00:00,22.1,16,28.5,,,,13.2,,1012.2,
2019-01-13 00:00:00,20.4,14,30,,,,9.2,,1015.1,
2019-01-14 00:00:00,22.2,14.5,28.5,,,,8.8,,1014.5,
2019-01-15 00:00:00,24.4,17.2,32.2,,,,9.9,,1010.5,
2019-01-16 00:00:00,25,17.8,31.3,,,,17.6,,1009.8,
2019-01-17 00:00:00,20.1,14.9,26.7,,,,16.1,,1023.3,
2019-01-18 00:00:00,19.1,9,27,,,,9.4,,1022.6,
2019-01-19 00:00:00,21.3,12.5,29.2,,,,23.1,,1018.7,
2019-01-20 00:00:00,22.9,15.5,30.3,,,,30.4,,1011.5,
2019-01-21 00:00:00,25.1,17.7,33,,,,13.9,,1009.7,
2019-01-22 00:00:00,27.1,19.5,35.1,,,,13.5,,1007.5,
2019-01-23 00:00:00,24.8,15.7,35.7,,,,18.3,,1012.6,
2019-01-24 00:00:00,26.6,20.6,31.7,,,,26.5,,1010.5,
2019-01-25 00:00:00,26.9,20.4,31.6,,,,17.5,,1006.9,
2019-01-26 00:00:00,23.6,19,33.1,,,,17.6,,1013.1,
2019-01-27 00:00:00,26.9,20.2,34.1,,,,19.2,,1009.8,
2019-01-28 00:00:00,29.1,23.3,35.7,,,,11.3,,1006.6,
2019-01-29 00:00:00,26.4,24.4,35.4,,,,9.5,,1005.2,
2019-01-30 00:00:00,26.4,20.3,31.3,,,,15.6,,1008.8,
2019-01-31 00:00:00,24.2,17.5,32,,,,15.7,,1010.5,
2019-02-01 00:00:00,26,18.5,32.7,,,,14.5,,1012.9,
2019-02-02 00:00:00,22.1,14.8,31.9,,,,15,,1023.7,
2019-02-03 00:00:00,19.5,10.6,28,,,,14.5,,1025.5,
2019-02-04 00:00:00,21.2,13,28.4,,,,19.3,,1021,
2019-02-05 00:00:00,23.7,16.5,31.4,,,,26.6,,1015.1,
2019-02-06 00:00:00,24.9,17.1,33.1,,,,26.2,,1008.9,
2019-02-07 00:00:00,25.6,18.5,33.6,,,,17.7,,1006,
2019-02-08 00:00:00,22.2,15.1,33.3,0,,,14.8,,1010,
2019-02-09 00:00:00,25.5,16.8,35.9,,,,9.9,,1007.2,
2019-02-10 00:00:00,26,19.7,37.6,0.3,,,12,,1003.2,
2019-02-11 00:00:00,19.6,14.4,34.1,0,,,28.6,,1016.9,
2019-02-12 00:00:00,15.8,8.4,23.2,,,,10.4,,1027.4,
2019-02-13 00:00:00,16.2,10.6,23.8,,,,18.6,,1018.1,
2019-02-14 00:00:00,21.1,12.8,29.5,,,,12.7,,1014,
2019-02-15 00:00:00,24.3,16.9,33,,,,13,,1014.6,
2019-02-16 00:00:00,24.5,15,34,,,,20.8,,1013.2,
2019-02-17 00:00:00,25.9,16.9,35.3,,,,22.8,,1008.9,
2019-02-18 00:00:00,27.4,19.7,37.3,,,,13.9,,1005.2,
2019-02-19 00:00:00,26.9,16.9,38,,,,11.4,,1006.9,
2019-02-20 00:00:00,27.3,17.7,36.2,,,,12.9,,1005.3,
2019-02-21 00:00:00,24.8,18.7,35.5,33,,,10.8,,1007.5,
2019-02-22 00:00:00,24.8,20.7,29.7,,,,13.9,,1010,
2019-02-23 00:00:00,22.8,17.1,30.4,,,,8.3,,1007.3,
2019-02-24 00:00:00,18.4,11.2,30.5,,,,11.3,,1009.6,
2019-02-25 00:00:00,15.4,9.4,24.1,,,,17.4,,1017.2,
2019-02-26 00:00:00,16.7,5.6,26.6,,,,7.9,,1017.6,
2019-02-27 00:00:00,20.7,11.3,30,,,,13.6,,1013.8,
2019-02-28 00:00:00,19.6,7.6,31,,,,16,,1012.9,
