date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01 00:00:00,,,,,,,,,,
2019-01-02 00:00:00,32.7,26.2,39,,,,,,,
2019-01-03 00:00:00,26.1,18.8,40.5,,,,,,,
2019-01-04 00:00:00,24.4,19.2,30.2,,,,,,,
2019-01-05 00:00:00,,,,,,,,,,
2019-01-06 00:00:00,26.4,,36.6,,,,,,,
2019-01-07 00:00:00,23.8,15.8,34.8,34,,,,,,
2019-01-08 00:00:00,,,,,,,,,,
2019-01-09 00:00:00,29.2,23.4,37.5,,,,,,,
2019-01-10 00:00:00,21.4,,36.5,,,,,,,
2019-01-11 00:00:00,,,,,,,,,,
2019-01-12 00:00:00,,,,,,,,,,
2019-01-13 00:00:00,25.3,21,33,0,,,,,,
2019-01-14 00:00:00,20.9,19,30,1,,,,,,
2019-01-15 00:00:00,,,,,,,,,,
2019-01-16 00:00:00,,,,,,,,,,
2019-01-17 00:00:00,22.5,,36,2,,,,,,
2019-01-18 00:00:00,,,,,,,,,,
2019-01-19 00:00:00,,,,,,,,,,
2019-01-20 00:00:00,,,,,,,,,,
2019-01-21 00:00:00,,,,,,,,,,
2019-01-22 00:00:00,,,,,,,,,,
2019-01-23 00:00:00,,,,,,,,,,
2019-01-24 00:00:00,30.8,22.6,42,39.9,,,,,,
2019-01-25 00:00:00,,,,,,,,,,
2019-01-26 00:00:00,27.3,21,42.6,20.1,,,,,,
2019-01-27 00:00:00,,,,,,,,,,
2019-01-28 00:00:00,,,,,,,,,,
2019-01-29 00:00:00,,,,,,,,,,
2019-01-30 00:00:00,28.2,21.6,37.6,7.9,,,,,,
2019-01-31 00:00:00,25.9,21,32.6,0,,,,,,
2019-02-01 00:00:00,25.2,21,33.5,21.1,,,,,,
2019-02-02 00:00:00,25.3,20.2,31.4,5.1,,,,,,
2019-02-03 00:00:00,23.5,17,30,10.9,,,,,,
2019-02-04 00:00:00,,,,,,,,,,
2019-02-05 00:00:00,,,,,,,,,,
2019-02-06 00:00:00,,,,,,,,,,
2019-02-07 00:00:00,27.2,20,34.6,,,,,,,
2019-02-08 00:00:00,,,,,,,,,,
2019-02-09 00:00:00,27.1,21,35,0,,,,,,
2019-02-10 00:00:00,,,,,,,,,,
2019-02-11 00:00:00,25.6,,39,,,,,,,
2019-02-12 00:00:00,18.8,15,27.5,,,,,,,
2019-02-13 00:00:00,18.5,15.8,22,,,,,,,
2019-02-14 00:00:00,,,,,,,,,,
2019-02-15 00:00:00,,,,,,,,,,
2019-02-16 00:00:00,26.3,19.5,36.2,,,,,,,
2019-02-17 00:00:00,,,,,,,,,,
2019-02-18 00:00:00,,,,,,,,,,
2019-02-19 00:00:00,,,,,,,,,,
2019-02-20 00:00:00,,,,,,,,,,
2019-02-21 00:00:00,34.8,25.8,41,,,,,,,
2019-02-22 00:00:00,33.2,27,41.2,,,,12.2,,1001.3,
2019-02-23 00:00:00,33.4,28,40.6,,,,11.8,,998.7,
2019-02-24 00:00:00,29,,38,,,,9.7,,1001.7,
2019-02-25 00:00:00,24.9,22.2,31.5,,,,11.3,,1008,
2019-02-26 00:00:00,19.1,,28.5,,,,8.6,,1015.7,
2019-02-27 00:00:00,20,17,24.6,,,,7,,1014.2,
2019-02-28 00:00:00,24,14.6,34.4,,,,6.5,,1010.7,
2019-03-01 00:00:00,26.6,18.3,35.1,,,,8.8,,1003.7,
2019-03-02 00:00:00,28.9,21.8,36.5,,,,10.2,,1007,
2019-03-03 00:00:00,29.7,23.2,36.8,,,,8.9,,1001.8,
2019-03-04 00:00:00,27.5,,37.5,,,,9.1,,1001.9,
2019-03-05 00:00:00,26.1,22,31.7,,,,11.9,,1009,
