date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01 00:00:00,29.7,27,36,,,,8.7,,1008.8,
2019-01-02 00:00:00,30.9,27,36,7.9,,,10.7,,1008.3,
2019-01-03 00:00:00,28.8,25,36.3,0,,,15.6,,1007.9,
2019-01-04 00:00:00,24.8,22.5,33.4,,,,9.2,,1010.9,
2019-01-05 00:00:00,27.5,24.5,32,,,,8.8,,1010.2,
2019-01-06 00:00:00,27.7,25.8,33.1,,,,10.2,,1007.3,
2019-01-07 00:00:00,25.3,19.7,31.5,24.9,,,15.4,,1005,
2019-01-08 00:00:00,26.1,,,,,,10.2,,1010.3,
2019-01-09 00:00:00,29.4,,,,,,15,,1007.4,
2019-01-10 00:00:00,27.1,23,34.1,,,,14.8,,1010.1,
2019-01-11 00:00:00,26.8,22.7,32,,,,13.1,,1014.2,
2019-01-12 00:00:00,26.8,23,34,,,,9.3,,1013.1,
2019-01-13 00:00:00,27.1,22,34,,,,9.1,,1011.9,
2019-01-14 00:00:00,27.3,22,34.1,30,,,10.8,,1012.1,
2019-01-15 00:00:00,29.6,24.6,35,,,,12,,1010.4,
2019-01-16 00:00:00,29,26,35,,,,10,,1010.5,
2019-01-17 00:00:00,29.6,,,,,,12.2,,1010.5,
2019-01-18 00:00:00,25.1,22,36.6,15,,,13.7,,1011.3,
2019-01-19 00:00:00,21.9,18,26.5,,,,13.9,,1015.2,
2019-01-20 00:00:00,23.8,,,,,,9.5,,1013.8,
2019-01-21 00:00:00,26.7,21.2,31.1,,,,6.1,,1013.3,
2019-01-22 00:00:00,30,23,36.6,,,,8.2,,1012.5,
2019-01-23 00:00:00,30.3,22,37,,,,11.1,,1011.9,
2019-01-24 00:00:00,27.4,21.3,36.8,5.1,,,9.5,,1012.5,
2019-01-25 00:00:00,30.4,25,36.2,,,,9.4,,1010.7,
2019-01-26 00:00:00,30.1,27,36.5,,,,10.4,,1010.9,
2019-01-27 00:00:00,29.7,25.6,36.8,,,,8.1,,1010.9,
2019-01-28 00:00:00,29.9,25.9,35.4,,,,10.8,,1012.5,
2019-01-29 00:00:00,30.6,26,36,,,,12.5,,1012.8,
2019-01-30 00:00:00,31.7,27,36,,,,11.8,,1011.6,
2019-01-31 00:00:00,32.3,27,38,,,,7.8,,1011.1,
2019-02-01 00:00:00,31.1,25,38,,,,11.6,,1011.6,
2019-02-02 00:00:00,27.3,24,37.9,5.1,,,13.2,,1013.9,
2019-02-03 00:00:00,25.6,23,33.3,6.1,,,15.6,,1016.3,
2019-02-04 00:00:00,24.2,18,30,,,,14.2,,,
2019-02-05 00:00:00,25.3,19,31,,,,10.7,,1014.2,
2019-02-06 00:00:00,27.5,22,34,,,,7.9,,1011.4,
2019-02-07 00:00:00,29.1,24.6,35.2,,,,8.3,,1008.3,
2019-02-08 00:00:00,30.7,24.9,37,,,,10.3,,1007.8,
2019-02-09 00:00:00,31.2,25,38,,,,11.1,,1007.7,
2019-02-10 00:00:00,27.4,23.6,38.5,7.9,,,11.6,,,
2019-02-11 00:00:00,26.1,22,33,,,,13,,1007.2,
2019-02-12 00:00:00,22.9,20,32.8,53.1,,,16.5,,1016.2,
2019-02-13 00:00:00,23.1,16.2,30,,,,11.6,,1015.5,
2019-02-14 00:00:00,24.3,20.8,30.5,,,,8.5,,1011.9,
2019-02-15 00:00:00,24.3,,30,63,,,12.9,,1009.7,
2019-02-16 00:00:00,24.4,19.5,30,,,,14,,1009.7,
2019-02-17 00:00:00,25.4,22,31,,,,10.9,,1010.2,
2019-02-18 00:00:00,25.5,,31.5,8.9,,,8.8,,1008.8,
2019-02-19 00:00:00,26.4,21.8,32,,,,7.2,,1008.3,
2019-02-20 00:00:00,28.6,,,,,,6.6,,1009.7,
2019-02-21 00:00:00,29.7,25,35,,,,8.9,,1010.9,
2019-02-22 00:00:00,29.8,24.4,35.4,,,,9,,1010.2,
2019-02-23 00:00:00,30.7,25.4,36.6,,,,9.7,,1006.7,
2019-02-24 00:00:00,29.5,24.4,36.7,,,,18,,1004.3,
2019-02-25 00:00:00,21.3,18.8,37,18,,,14.2,,1008.9,
2019-02-26 00:00:00,22,17.7,27.7,,,,12.9,,1013.7,
2019-02-27 00:00:00,22.6,16.3,28.6,,,,11.9,,1014.4,
2019-02-28 00:00:00,22.8,17.1,29.2,,,,10.1,,1015,
2019-03-01 00:00:00,24,17.1,30.6,,,,6.8,,1012.4,
2019-03-02 00:00:00,26.6,18.9,34.2,,,,8,,1012.2,
2019-03-03 00:00:00,28.4,,,,,,7.4,,1011.6,
2019-03-04 00:00:00,29.1,22.5,35.8,,,,10.4,,1008.6,
2019-03-05 00:00:00,28.3,23.2,35.9,,,,9.8,,1012,
2019-03-06 00:00:00,24.6,22.1,35.6,18,,,9.1,,1011.8,
2019-03-07 00:00:00,22,20.5,31.5,18,,,14.1,,1010.1,
2019-03-08 00:00:00,21.9,20.3,24.9,159,,,11.7,,1009.2,
2019-03-09 00:00:00,21.8,20.1,24.4,,,,17.1,,1015.6,
2019-03-10 00:00:00,22.2,17.7,26.5,,,,13.9,,1016.7,
2019-03-11 00:00:00,23.8,18.8,29.2,,,,10.8,,1012.7,
2019-03-12 00:00:00,24.3,20.7,29.9,0.8,,,5.7,,1011.3,
2019-03-13 00:00:00,23.9,22,28.1,0,,,6.6,,1011.6,
2019-03-14 00:00:00,23.6,18.9,28.5,,,,8.4,,1012.3,
2019-03-15 00:00:00,23.8,19.3,29.9,,,,9.1,,1012.6,
2019-03-16 00:00:00,25.1,21.8,30.1,,,,8.6,,1011,
2019-03-17 00:00:00,23.4,21.8,30.5,40.9,,,8.8,,1009.3,
2019-03-18 00:00:00,24.6,22.2,28.6,,,,10.6,,1008.8,
2019-03-19 00:00:00,24.7,19.9,29.9,,,,5.9,,1010,
2019-03-20 00:00:00,23.1,20.8,30,,,,14.7,,1013.4,
2019-03-21 00:00:00,20.6,16.1,25.5,,,,14.2,,1017,
2019-03-22 00:00:00,21.1,14.9,28,,,,10,,1015.7,
2019-03-23 00:00:00,23.2,16.6,30,,,,4.9,,1015.1,
2019-03-24 00:00:00,24.5,18.8,30.6,,,,7.4,,1014.7,
2019-03-25 00:00:00,23.6,18.6,30.7,,,,11,,1015.2,
2019-03-26 00:00:00,21.1,,29.4,,,,13.2,,1017.7,
2019-03-27 00:00:00,20.9,15.3,28,,,,13.1,,1020,
2019-03-28 00:00:00,24.1,17.4,30.9,,,,10.7,,1018.4,
2019-03-29 00:00:00,26.9,21.2,32.7,,,,8.3,,1016.6,
2019-03-30 00:00:00,27.6,22.5,33,,,,8,,1014.9,
2019-03-31 00:00:00,27.2,23.9,33,,,,6.3,,1013,
2019-04-01 00:00:00,26.6,22.8,31,,,,7,,1012,
2019-04-02 00:00:00,24.7,21.8,31.2,,,,7.9,,1011.8,
2019-04-03 00:00:00,25.2,21.4,30,,,,6,,1010.2,
2019-04-04 00:00:00,26.3,22.5,30.5,0,,,14.1,,1004.1,
2019-04-05 00:00:00,20.6,17.1,30.4,30,,,15.1,,1011.4,
2019-04-06 00:00:00,19.7,16.9,23.7,,,,11.7,,1016.4,
2019-04-07 00:00:00,21.2,16.8,26.3,,,,12,,1017,
2019-04-08 00:00:00,22.2,17,27.1,,,,9.3,,1016.5,
2019-04-09 00:00:00,23.4,17.6,29.8,,,,8.6,,1014.6,
2019-04-10 00:00:00,25,20.1,31,,,,5.6,,1013.7,
2019-04-11 00:00:00,25.6,21.4,31,,,,9.5,,1014.5,
2019-04-12 00:00:00,21.8,16.3,31,,,,9.4,,1014.4,
2019-04-13 00:00:00,23,17,29.4,,,,5.9,,1011.7,
2019-04-14 00:00:00,26.1,,,,,,7.7,,1012.1,
2019-04-15 00:00:00,26.5,21.8,33.9,,,,7.2,,1014,
2019-04-16 00:00:00,21.6,18.3,32.1,,,,10.2,,1015.5,
2019-04-17 00:00:00,21.8,18.5,26,,,,8.5,,1013.8,
2019-04-18 00:00:00,22.3,16.1,28.3,,,,5.9,,1012.3,
2019-04-19 00:00:00,25.2,18.7,31.9,,,,6.1,,1011.3,
2019-04-20 00:00:00,24.1,21.4,32.1,,,,11.3,,1010.6,
2019-04-21 00:00:00,21.8,19.7,26.8,,,,8.8,,1010.6,
2019-04-22 00:00:00,22.7,19.6,26.8,,,,11.4,,1012.6,
2019-04-23 00:00:00,23.3,17.4,30.2,,,,10.2,,1015,
2019-04-24 00:00:00,25.7,21,30.9,,,,8.9,,1015.6,
2019-04-25 00:00:00,23.9,22,31.8,31,,,11.9,,1014.6,
2019-04-26 00:00:00,22.6,21.8,25.6,24.9,,,8.7,,1014.1,
2019-04-27 00:00:00,21.7,19.5,24.2,17,,,8.9,,1011.9,
2019-04-28 00:00:00,19,17,21.5,20.1,,,10.2,,1013,
2019-04-29 00:00:00,19.2,14.4,24.8,,,,6.5,,1013.1,
2019-04-30 00:00:00,20,16,25.2,,,,7.2,,1014.3,
2019-05-01 00:00:00,20.8,17.6,25.8,,,,9.2,,1014.5,
2019-05-02 00:00:00,21.7,16.1,27.5,,,,6.9,,1010.1,
2019-05-03 00:00:00,25.3,22.9,29.4,,,,6.3,,1009.3,
2019-05-04 00:00:00,25.5,23.3,29.9,0,,,12.4,,1012.5,
2019-05-05 00:00:00,22.7,21.8,29.1,11.9,,,11.8,,1013.9,
2019-05-06 00:00:00,23.1,21,27.1,,,,9.1,,1014.8,
2019-05-07 00:00:00,22.7,19.7,27.5,7.1,,,11,,1015.1,
2019-05-08 00:00:00,20.8,18.1,25.5,0,,,10,,1013.8,
2019-05-09 00:00:00,20.9,19.9,25,86.1,,,12.2,,1011.5,
2019-05-10 00:00:00,21,19.4,23.4,25.9,,,13.3,,1007,
2019-05-11 00:00:00,19.3,15.4,21.7,84.1,,,15.4,,1012,
2019-05-12 00:00:00,15.6,12.3,20.5,0,,,11.3,,1018.1,
2019-05-13 00:00:00,16.5,14.3,20,,,,13.4,,1021,
2019-05-14 00:00:00,16.5,13,20.2,0,,,10.9,,1023.6,
2019-05-15 00:00:00,17.8,13.8,22.7,,,,10.7,,1022.3,
2019-05-16 00:00:00,19.6,15.4,24.8,,,,8.6,,1020.8,
2019-05-17 00:00:00,21,16.5,26.4,,,,10,,1017.1,
2019-05-18 00:00:00,22.1,18.2,27.2,,,,10.3,,1015.7,
2019-05-19 00:00:00,20.2,18.8,27.6,,,,7.4,,1015.3,
2019-05-20 00:00:00,22.3,19.1,26.7,,,,8,,1012.8,
2019-05-21 00:00:00,21,19.1,27,20.1,,,6.7,,1012.7,
2019-05-22 00:00:00,19.1,17.7,21.5,27.9,,,11.1,,1014.8,
2019-05-23 00:00:00,17.6,15.7,20.8,0,,,8.4,,1015.6,
2019-05-24 00:00:00,16.8,14.2,20.2,,,,11.2,,1014.6,
2019-05-25 00:00:00,14.9,10.7,20.5,0,,,9.2,,1017.3,
2019-05-26 00:00:00,17.3,12.8,21.5,,,,8.6,,1013,
2019-05-27 00:00:00,20,18,22.4,,,,9.4,,1009,
2019-05-28 00:00:00,19.8,18,22.8,19.1,,,8.9,,1011.6,
2019-05-29 00:00:00,17.9,14.3,22.4,0,,,8.8,,1014.6,
2019-05-30 00:00:00,19.6,14.9,22.5,11.9,,,9.3,,1010.5,
2019-05-31 00:00:00,16.9,14.8,21.8,2,,,8,,1011.8,
2019-06-01 00:00:00,18,16.3,20.5,,,,8.4,,1014.6,
2019-06-02 00:00:00,16.1,13.2,21,,,,9.8,,1018.7,
2019-06-03 00:00:00,14.4,11.3,19.4,,,,8.7,,1023.2,
2019-06-04 00:00:00,15.3,10.2,21.3,,,,6.7,,1024.3,
2019-06-05 00:00:00,16.7,11.6,23.3,,,,12.5,,1020.8,
2019-06-06 00:00:00,18.2,13.9,24.4,,,,11.4,,1015.8,
2019-06-07 00:00:00,21,15.5,27,,,,8,,1015.6,
2019-06-08 00:00:00,20.3,,27,0,,,7.7,,1017.2,
2019-06-09 00:00:00,21.9,18.6,27.7,,,,7.4,,1017.3,
2019-06-10 00:00:00,21.7,19.2,28,,,,8.5,,1016.6,
2019-06-11 00:00:00,21.3,17.4,26.9,,,,10.3,,1015.4,
2019-06-12 00:00:00,24,20.5,30,,,,11,,1012.9,
2019-06-13 00:00:00,24.6,21.4,30.2,,,,11.2,,1013.3,
2019-06-14 00:00:00,24,20.5,30,,,,8.1,,1014.6,
2019-06-15 00:00:00,24.8,21.4,30.8,,,,10.3,,1015.3,
2019-06-16 00:00:00,24.7,20.9,30.9,,,,7.4,,1018.1,
2019-06-17 00:00:00,22.2,17.2,29.9,,,,6,,1018.3,
2019-06-18 00:00:00,21.7,17.2,29.2,,,,11.6,,1015.2,
2019-06-19 00:00:00,16.4,12.4,26.5,8.9,,,9.8,,1020.6,
2019-06-20 00:00:00,14.8,9.3,21,,,,6.9,,1022.8,
2019-06-21 00:00:00,20.5,13.6,28.8,,,,9.6,,1020.1,
2019-06-22 00:00:00,23.1,17.4,29,,,,7.8,,1020.9,
2019-06-23 00:00:00,22.4,18.5,29,,,,8.8,,1016.4,
2019-06-24 00:00:00,22.2,17.4,28.7,,,,10.1,,1009.3,
2019-06-25 00:00:00,20,9.4,28.9,,,,21.6,,1008.6,
