date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01 00:00:00,23.1,13.4,34.8,,,,7.5,,1008.5,
2019-01-02 00:00:00,20.9,15,32,,,,16.5,,1013.6,
2019-01-03 00:00:00,21.2,11,30.2,,,,11.6,,1011.5,
2019-01-04 00:00:00,23.7,14,33.2,,,,9.2,,1009.7,
2019-01-05 00:00:00,25.9,15,35.2,,,,7.7,,1005.6,
2019-01-06 00:00:00,26.6,19.8,35.6,,,,21.2,,1004.6,
2019-01-07 00:00:00,22.9,16.6,32.6,,,,19.2,,1002.7,
2019-01-08 00:00:00,19.9,16.7,30.1,,,,11.4,,1006.3,
2019-01-09 00:00:00,14.6,10,21.7,,,,9,,1013.6,
2019-01-10 00:00:00,15.2,,,,,,8.8,,1020.1,
2019-01-11 00:00:00,20.8,10,31,,,,6.4,,1012,
2019-01-12 00:00:00,21.7,14.9,31.7,,,,12.1,,1013,
2019-01-13 00:00:00,20.9,12,28,,,,7.4,,1017,
2019-01-14 00:00:00,22.6,13,34,,,,11.3,,1013.2,
2019-01-15 00:00:00,24.8,17,34.4,,,,13.3,,1008.8,
2019-01-16 00:00:00,23.6,18.6,33.8,,,,18.3,,1012.3,
2019-01-17 00:00:00,20.6,12.5,27.2,,,,7.8,,1023.7,
2019-01-18 00:00:00,23,14,30,,,,10.4,,1019,
2019-01-19 00:00:00,26.5,,,,,,14.6,,1013.2,
2019-01-20 00:00:00,28.4,21,37,,,,14.6,,1006.3,
2019-01-21 00:00:00,24.9,17.2,38.1,,,,13.9,,1009.7,
2019-01-22 00:00:00,24.7,15.4,32.8,,,,13.4,,1009.7,
2019-01-23 00:00:00,23.8,14,33,,,,7,,1013.4,
2019-01-24 00:00:00,27.4,16.2,37,,,,9.1,,1006.3,
2019-01-25 00:00:00,27.3,16.5,36.7,,,,14.3,,1007.4,
2019-01-26 00:00:00,23.4,15.9,35.7,,,,11.4,,1016.4,
2019-01-27 00:00:00,27.1,,,,,,10.6,,1008.6,
2019-01-28 00:00:00,26.9,17,36.1,,,,12.4,,1008.5,
2019-01-29 00:00:00,27.8,19,36.1,,,,17.6,,1007.1,
2019-01-30 00:00:00,25.7,17.8,36.1,,,,11.4,,1010.3,
2019-01-31 00:00:00,24.8,17,32.2,,,,12.4,,1011.1,
2019-02-01 00:00:00,25.1,14.7,33.1,,,,11.2,,1014.8,
2019-02-02 00:00:00,22.8,15.7,33.3,,,,21.2,,1024.8,
2019-02-03 00:00:00,24.2,16.7,31.6,,,,13.6,,1022.2,
2019-02-04 00:00:00,25.5,,,,,,16.1,,,
2019-02-05 00:00:00,28.6,21,37.2,,,,7.7,,1009.4,
2019-02-06 00:00:00,28,17,37.7,,,,8.6,,1006.1,
2019-02-07 00:00:00,25.5,18,36.7,,,,10.7,,,
2019-02-08 00:00:00,22.6,,,,,,6.6,,,
2019-02-09 00:00:00,25.9,17,33.2,,,,14,,1008.3,
2019-02-10 00:00:00,22.4,16,33.8,,,,12.6,,1006.8,
2019-02-11 00:00:00,14.7,9.7,27.1,,,,8.8,,1022.3,
2019-02-12 00:00:00,17.8,9,25.2,,,,10.6,,1024.9,
2019-02-13 00:00:00,21.9,14,31,,,,4.9,,1013.4,
2019-02-14 00:00:00,26.2,18,34.7,,,,9.6,,,
2019-02-15 00:00:00,26.2,,,,,,4.6,,1012.2,
2019-02-16 00:00:00,30.7,,,,,,7.7,,,
2019-02-17 00:00:00,29.2,19.8,39.9,,,,9.6,,1005.3,
2019-02-18 00:00:00,27.7,20.5,39,,,,14,,1007,
2019-02-19 00:00:00,25,16,33,,,,12,,1008.1,
2019-02-20 00:00:00,26.1,,,,,,11.2,,,
2019-02-21 00:00:00,24.4,16.8,35.1,,,,5.4,,1009.5,
2019-02-22 00:00:00,22.4,15.4,31.5,,,,7.3,,1013,
2019-02-23 00:00:00,22.6,16.5,29.6,,,,20,,1008.8,
2019-02-24 00:00:00,18.3,11.4,28.3,,,,13.5,,1012,
2019-02-25 00:00:00,14.9,5.9,23.4,,,,8.7,,1018.9,
