date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01 00:00:00,23.4,19.9,28.4,,,,,,,
2019-01-02 00:00:00,,,,,,,,,,
2019-01-03 00:00:00,21.5,,31.7,416.6,,,,,,
2019-01-04 00:00:00,,,,,,,,,,
2019-01-05 00:00:00,,,,,,,,,,
2019-01-06 00:00:00,,,,,,,,,,
2019-01-07 00:00:00,22.9,17.2,29.5,,,,,,,
2019-01-08 00:00:00,,,,,,,,,,
2019-01-09 00:00:00,,,,,,,,,,
2019-01-10 00:00:00,19.5,,32.3,6.1,,,,,,
2019-01-11 00:00:00,,,,,,,,,,
2019-01-12 00:00:00,,,,,,,,,,
2019-01-13 00:00:00,,,,,,,,,,
2019-01-14 00:00:00,20.4,,27.7,,,,,,,
2019-01-15 00:00:00,,,,,,,,,,
2019-01-16 00:00:00,,,,,,,,,,
2019-01-17 00:00:00,,,,,,,,,,
2019-01-18 00:00:00,16,14,29.2,13.5,,,,,,
2019-01-19 00:00:00,,,,,,,,,,
2019-01-20 00:00:00,,,,,,,,,,
2019-01-21 00:00:00,,,,,,,,,,
2019-01-22 00:00:00,,,,,,,,,,
2019-01-23 00:00:00,,,,,,,,,,
2019-01-24 00:00:00,26.9,19.8,34.2,,,,,,,
2019-01-25 00:00:00,26.2,18.8,34.1,,,,,,,
2019-01-26 00:00:00,24.9,17.5,33.6,,,,,,,
2019-01-27 00:00:00,23.8,19.5,33.5,,,,,,,
2019-01-28 00:00:00,,,,,,,,,,
2019-01-29 00:00:00,24.5,18,31,,,,,,,
2019-01-30 00:00:00,22.9,18.8,30.7,,,,,,,
2019-01-31 00:00:00,21.9,18.8,30.4,,,,,,,
2019-02-01 00:00:00,20.7,,27.8,,,,,,,
2019-02-02 00:00:00,,,,,,,,,,
2019-02-03 00:00:00,19.4,16,25,,,,,,,
2019-02-04 00:00:00,18.4,13.8,24.6,,,,,,,
2019-02-05 00:00:00,,,,,,,,,,
2019-02-06 00:00:00,,,,,,,,,,
2019-02-07 00:00:00,,,,,,,,,,
2019-02-08 00:00:00,,,,,,,,,,
2019-02-09 00:00:00,22.7,18.1,30.6,,,,,,,
2019-02-10 00:00:00,21.9,16.5,32.1,436.1,,,,,,
