date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01 00:00:00,27.9,22.1,,,,,,,,
2019-01-02 00:00:00,,,,,,,,,,
2019-01-03 00:00:00,24.1,19.5,,,,,,,,
2019-01-04 00:00:00,24.6,17.1,32.5,,,,,,,
2019-01-05 00:00:00,27.1,20,,,,,,,,
2019-01-06 00:00:00,22.1,16.1,33.9,,,,,,,
2019-01-07 00:00:00,23,15.4,,,,,,,,
2019-01-08 00:00:00,25.4,19.4,32.2,,,,,,,
2019-01-09 00:00:00,21.7,17.1,31.8,,,,,,,
2019-01-10 00:00:00,14.5,8.9,22.5,,,,,,,
2019-01-11 00:00:00,19.3,9.1,,,,,,,,
2019-01-12 00:00:00,23,15.8,,,,,,,,
2019-01-13 00:00:00,,,,,,,,,,
2019-01-14 00:00:00,20.9,15.4,25.3,,,,,,,
2019-01-15 00:00:00,20,13.9,,,,,,,,
2019-01-16 00:00:00,25.7,16.9,,,,,,,,
2019-01-17 00:00:00,16.3,13.9,,,,,,,,
2019-01-18 00:00:00,16.2,7.9,,,,,,,,
2019-01-19 00:00:00,21.6,13.1,,,,,,,,
2019-01-20 00:00:00,22.3,15.7,,,,,,,,
2019-01-21 00:00:00,24.5,17.6,,,,,,,,
2019-01-22 00:00:00,27.3,20.9,,,,,,,,
2019-01-23 00:00:00,29.2,23.9,34.6,,,,,,,
2019-01-24 00:00:00,,,,,,,,,,
2019-01-25 00:00:00,,,,,,,,,,
2019-01-26 00:00:00,26,20.5,38.2,,,,,,,
2019-01-27 00:00:00,28.6,21.5,,,,,,,,
2019-01-28 00:00:00,28.1,19.9,36,,,,,,,
2019-01-29 00:00:00,,,,,,,,,,
2019-01-30 00:00:00,24.6,19.1,38.4,,,,,,,
2019-01-31 00:00:00,26.8,20.1,,,,,,,,
2019-02-01 00:00:00,26.1,18.1,33.5,,,,,,,
2019-02-02 00:00:00,24.3,18.9,33.5,,,,,,,
2019-02-03 00:00:00,21.4,18,27.3,,,,,,,
2019-02-04 00:00:00,22.2,16.9,,,,,,,,
2019-02-05 00:00:00,23.4,16.6,,,,,,,,
2019-02-06 00:00:00,25.2,17.1,,,,,,,,
2019-02-07 00:00:00,26.5,17.3,,,,,,,,
2019-02-08 00:00:00,26.1,21.4,34.7,,,,,,,
2019-02-09 00:00:00,24.7,17.1,,,,,,,,
2019-02-10 00:00:00,28,20.3,,,,,,,,
2019-02-11 00:00:00,,,,,,,,,,
2019-02-12 00:00:00,16.7,12.2,,0,,,,,,
2019-02-13 00:00:00,18.3,14.4,,,,,,,,
2019-02-14 00:00:00,21.2,14.9,,,,,,,,
2019-02-15 00:00:00,24.8,16.4,,,,,,,,
2019-02-16 00:00:00,26.5,18.1,33.6,,,,,,,
2019-02-17 00:00:00,26,18.9,34.3,,,,,,,
2019-02-18 00:00:00,28.3,21.4,,,,,,,,
2019-02-19 00:00:00,28.9,20,36,,,,,,,
2019-02-20 00:00:00,30.4,22.1,36.6,,,,,,,
