date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01 00:00:00,9.7,4.5,21.1,,,,39.9,,1000.2,
2019-01-02 00:00:00,9.4,4,15.2,0.5,,,29.1,,1006,
2019-01-03 00:00:00,11.6,7,16,,,,30.4,,1000.8,
2019-01-04 00:00:00,13,,,,,,46.2,,1002,
2019-01-05 00:00:00,10.4,4,17.8,0,,,19.6,,997.4,
2019-01-06 00:00:00,10.1,6.2,15.6,,,,37.9,,990.4,
2019-01-07 00:00:00,11.1,6.6,17,,,,16.1,,987.7,
2019-01-08 00:00:00,7.8,3.2,17.7,3,,,23.1,,993.6,
2019-01-09 00:00:00,11.2,3.7,17.2,,,,24.2,,1009.2,
2019-01-10 00:00:00,14.2,7,23,,,,17.5,,1002.1,
2019-01-11 00:00:00,14.1,11,23,,,,31.3,,993.9,
2019-01-12 00:00:00,10.4,6.8,17,,,,49,,1000,
2019-01-13 00:00:00,13,9,17.5,,,,40.3,,1009.9,
2019-01-14 00:00:00,16.1,,,,,,19.6,,1005.4,
2019-01-15 00:00:00,14.8,9.6,23.2,,,,26.7,,994.4,
2019-01-16 00:00:00,10.6,,20,,,,35.6,,1010.6,
2019-01-17 00:00:00,13.8,,,,,,30.6,,,
2019-01-18 00:00:00,17,10,25.5,,,,19.8,,,
2019-01-19 00:00:00,19.2,13,26,,,,25.8,,997.2,
2019-01-20 00:00:00,10.7,6.7,24.5,,,,6.5,,1000.2,
2019-01-21 00:00:00,10.7,3,18.1,,,,23.5,,993.6,
2019-01-22 00:00:00,11.7,6.5,19.5,0.3,,,46.2,,995.4,
2019-01-23 00:00:00,16.1,8,25,,,,31,,998.8,
2019-01-24 00:00:00,17.6,11,26,,,,43.1,,988.3,
2019-01-25 00:00:00,10.8,3.5,22.6,,,,31.4,,1000.9,
2019-01-26 00:00:00,13.6,8,19,,,,19,,1007,
2019-01-27 00:00:00,15.7,12,21,,,,20.3,,993.5,
2019-01-28 00:00:00,14.4,10.5,22.1,,,,38.5,,986.5,
2019-01-29 00:00:00,11.4,5.5,19.5,,,,40.8,,991.9,
2019-01-30 00:00:00,9.3,4,17.5,,,,38.2,,1002.2,
2019-01-31 00:00:00,11.2,7.7,15,,,,25.6,,1002.4,
2019-02-01 00:00:00,12.7,8,18,,,,28,,1012.5,
2019-02-02 00:00:00,18.9,12.2,25.2,,,,33.8,,1019.7,
2019-02-03 00:00:00,21.5,13,31.2,,,,21.8,,1017.3,
2019-02-04 00:00:00,21.6,10,31.8,,,,13.5,,1009.2,
2019-02-05 00:00:00,21.1,11,34.6,,,,19.3,,994.2,
2019-02-06 00:00:00,13.9,6.6,20,,,,27.6,,1002.6,
2019-02-07 00:00:00,12.4,5.2,20,,,,20,,1005.5,
2019-02-08 00:00:00,12.7,8.2,19.2,,,,26.3,,994.5,
2019-02-09 00:00:00,10.2,5.5,17,,,,45.3,,991.2,
2019-02-10 00:00:00,8.9,4.8,15.2,,,,36.1,,1002.6,
2019-02-11 00:00:00,10,,,,,,22.7,,1020.3,
2019-02-12 00:00:00,14.6,10,20.2,,,,31.8,,,
2019-02-13 00:00:00,16.6,8,25,,,,26,,1006.2,
2019-02-14 00:00:00,17.8,12.8,26,,,,38.7,,998.8,
2019-02-15 00:00:00,18.1,8,30,,,,26.5,,1000,
2019-02-16 00:00:00,17.7,12.4,30.4,,,,37.4,,996.7,
2019-02-17 00:00:00,10.1,4,20.2,10.9,,,11,,997.2,
2019-02-18 00:00:00,8.5,2.5,14,,,,20.2,,1000.1,
2019-02-19 00:00:00,12.2,9,16,,,,39.2,,985.1,
2019-02-20 00:00:00,9.1,6,16.4,,,,54,,987.9,
2019-02-21 00:00:00,6.2,1,12.2,,,,24.5,,1007.4,
2019-02-22 00:00:00,6.4,1,13,,,,25.1,,1008.9,
2019-02-23 00:00:00,7.3,2.2,13,0.3,,,21.7,,1005.5,
2019-02-24 00:00:00,7.2,2.2,12,,,,31.7,,1015.2,
2019-02-25 00:00:00,8.9,4,14,,,,20.6,,1014.6,
2019-02-26 00:00:00,12,8.6,16.7,,,,39.3,,1012.2,
2019-02-27 00:00:00,11.5,4.6,19.2,,,,32.5,,1013.7,
2019-02-28 00:00:00,12.2,9.2,19.4,3,,,17,,1008,
2019-03-01 00:00:00,14.5,11.1,18.2,,,,10.2,,1007.6,
2019-03-02 00:00:00,12.8,10,19,2,,,10.9,,1004.5,
2019-03-03 00:00:00,11.3,6,17.6,2,,,13.6,,993.9,
2019-03-04 00:00:00,10.3,4.2,16.2,0,,,23.5,,992.7,
2019-03-05 00:00:00,8.7,3.6,16.5,,,,26.1,,992.3,
2019-03-06 00:00:00,8.3,5.4,14,6.1,,,24.1,,984.6,
2019-03-07 00:00:00,7.9,3.5,13,,,,34.7,,1005.4,
2019-03-08 00:00:00,9.5,3.5,18,,,,24.6,,1017.2,
2019-03-09 00:00:00,15.2,11.2,22,,,,30.7,,1016.1,
2019-03-10 00:00:00,14.3,7,22.4,0,,,18.9,,1009.9,
2019-03-11 00:00:00,12.6,5.5,22,,,,30.4,,1012.4,
2019-03-12 00:00:00,8.1,1.4,16.5,,,,13.5,,1018.5,
2019-03-13 00:00:00,10.1,4.8,15,,,,17.8,,1014.4,
2019-03-14 00:00:00,12.5,9.6,18,,,,11.7,,1021.7,
2019-03-15 00:00:00,14.2,10.7,21.2,,,,19.1,,1016.1,
2019-03-16 00:00:00,14.8,11.2,22,2,,,6.9,,1005.8,
2019-03-17 00:00:00,13.4,9,22.6,4.1,,,26.7,,988.6,
2019-03-18 00:00:00,8.4,6,17.2,37.1,,,36.5,,1001.2,
2019-03-19 00:00:00,8.6,2.5,15,,,,25.3,,1017.3,
2019-03-20 00:00:00,11.9,7.1,17.1,,,,22.2,,1016.1,
2019-03-21 00:00:00,12.3,8.2,17.5,,,,10.9,,1011.2,
2019-03-22 00:00:00,11.6,5,17.1,0,,,10.5,,1008.2,
2019-03-23 00:00:00,11.2,7.2,16.7,4.1,,,10,,1012.9,
2019-03-24 00:00:00,13.2,9,19.5,,,,15.9,,1016.2,
2019-03-25 00:00:00,10.5,4.6,19.6,,,,25.3,,1020.6,
