date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01 00:00:00,6.3,3.7,13.5,1,,,46.1,,993.7,
2019-01-02 00:00:00,6.4,4,9,,,,30.1,,1000.7,
2019-01-03 00:00:00,8.4,5.7,12,,,,27.5,,996.9,
2019-01-04 00:00:00,8.4,5,13.6,0,,,34.6,,995.5,
2019-01-05 00:00:00,8.3,4,12,,,,18.8,,990.2,
2019-01-06 00:00:00,7.1,4,13.5,0,,,43.9,,983.9,
2019-01-07 00:00:00,6.9,3,12.5,,,,11.8,,988.2,
2019-01-08 00:00:00,6.6,3.8,12.5,11.9,,,20.5,,996.8,
2019-01-09 00:00:00,8.2,5.3,12.6,0.3,,,35.1,,1005.5,
2019-01-10 00:00:00,11.5,7,16,,,,15.1,,994.1,
2019-01-11 00:00:00,10.9,7,16.5,0.5,,,30.9,,986.2,
2019-01-12 00:00:00,6.1,4,11.6,1,,,45.6,,991.4,
2019-01-13 00:00:00,8.5,6.7,11,,,,54,,999.5,
2019-01-14 00:00:00,10.1,7,13,,,,16.9,,999.9,
2019-01-15 00:00:00,9.9,6,13.5,1,,,23.7,,991.2,
2019-01-16 00:00:00,6.3,3,9.2,,,,44.2,,1007.4,
2019-01-17 00:00:00,9.4,6,13,,,,35.2,,1007.1,
2019-01-18 00:00:00,11,7,14.3,,,,31.1,,1004.3,
2019-01-19 00:00:00,13.1,9,18,,,,38,,990,
2019-01-20 00:00:00,9.3,7,15,,,,23.7,,996.4,
2019-01-21 00:00:00,9.1,5.5,13.2,,,,18.4,,990.3,
2019-01-22 00:00:00,8.2,6.8,13,,,,40.4,,986.9,
2019-01-23 00:00:00,10.7,5,17,,,,24.3,,994.3,
2019-01-24 00:00:00,14.2,8,17.5,0.3,,,34,,979.7,
2019-01-25 00:00:00,7.2,5.8,17.5,2,,,41.3,,992.4,
2019-01-26 00:00:00,9.5,5.5,14,,,,12.8,,1000.6,
2019-01-27 00:00:00,12.7,10,16,,,,22.2,,988.6,
2019-01-28 00:00:00,8.8,7,16,1,,,29.7,,980.8,
2019-01-29 00:00:00,7.5,5,12,0,,,21.2,,984.6,
2019-01-30 00:00:00,6.7,4,10.7,1,,,38,,996.3,
2019-01-31 00:00:00,7.7,5,12,,,,13.8,,999.4,
2019-02-01 00:00:00,8.4,5,12.7,0.5,,,32.3,,1008.9,
2019-02-02 00:00:00,10.9,6,15.5,,,,23.3,,1013.5,
2019-02-03 00:00:00,15,11,19,,,,36.1,,1011.4,
2019-02-04 00:00:00,18.5,12,27,,,,10.7,,1006.8,
2019-02-05 00:00:00,17.4,11,26.5,0,,,9.2,,993.5,
2019-02-06 00:00:00,10.2,8,25.4,,,,31.7,,995.7,
2019-02-07 00:00:00,9.2,6,14,,,,24.4,,998.4,
2019-02-08 00:00:00,11.1,7.5,14.4,0,,,14.4,,988.1,
2019-02-09 00:00:00,8.2,6,13.6,1,,,38.5,,984.5,
2019-02-10 00:00:00,5.6,3.7,10.2,2,,,34.7,,1002,
2019-02-11 00:00:00,8,5,11,,,,45.6,,1015.3,
2019-02-12 00:00:00,10,8,13,,,,29.6,,1002.5,
2019-02-13 00:00:00,10.1,4,17,,,,20.9,,998.9,
2019-02-14 00:00:00,9.8,6,17,1,,,25.5,,990.6,
2019-02-15 00:00:00,10.1,6,15,,,,19.8,,993,
2019-02-16 00:00:00,11.5,9,15,0,,,49.8,,986.9,
2019-02-17 00:00:00,8.6,6,12.6,,,,30.1,,992.1,
2019-02-18 00:00:00,6.6,2.8,10.5,,,,25.3,,995.9,
2019-02-19 00:00:00,7.2,5,10,,,,14.5,,982.6,
2019-02-20 00:00:00,5.2,3,12.3,7.1,,,35.5,,984.5,
2019-02-21 00:00:00,4.7,3,7.5,,,,23.5,,1004.6,
2019-02-22 00:00:00,5.2,2.7,8,,,,15.4,,1005.3,
2019-02-23 00:00:00,5.2,3,8,0.5,,,24.4,,1006.4,
2019-02-24 00:00:00,4.6,2.5,7.1,,,,34,,1013.8,
2019-02-25 00:00:00,6,3.5,8.5,,,,16,,1012.9,
2019-02-26 00:00:00,7.2,6.2,8.5,,,,54.6,,1009.2,
2019-02-27 00:00:00,7.5,5.6,9.2,,,,50.1,,1009.6,
2019-02-28 00:00:00,8.3,6.5,9.2,0.5,,,15.6,,1006.5,
2019-03-01 00:00:00,9.1,6.2,13,,,,5.7,,1007.3,
2019-03-02 00:00:00,10.6,8.5,13.6,,,,9.5,,1002.9,
2019-03-03 00:00:00,10.6,8,13.6,0.5,,,11.1,,990.9,
2019-03-04 00:00:00,9.1,5.2,13.5,0,,,14.8,,986.2,
2019-03-05 00:00:00,5.8,3,13,,,,28.6,,985,
2019-03-06 00:00:00,5.3,2,9,0.3,,,24.4,,984.8,
2019-03-07 00:00:00,4.2,1.5,8.6,2,,,34.1,,1001.8,
2019-03-08 00:00:00,7.6,2.7,12.5,,,,26,,1008.5,
2019-03-09 00:00:00,11.5,9,14,,,,40.3,,1007.3,
2019-03-10 00:00:00,13.8,10.5,18.2,,,,19.3,,1002.1,
2019-03-11 00:00:00,8.7,6.2,18.4,0,,,48,,1006.3,
2019-03-12 00:00:00,7.1,5.4,10.2,,,,22.7,,1017.6,
2019-03-13 00:00:00,8.6,4.2,13.4,,,,3.6,,1016,
2019-03-14 00:00:00,10.6,6.6,14.7,,,,6.1,,1018.7,
2019-03-15 00:00:00,13.1,7.5,16.6,,,,19.6,,1010.4,
2019-03-16 00:00:00,8.8,7,16.5,0,,,4.9,,1005.5,
2019-03-17 00:00:00,8.3,6.7,10,1,,,10.3,,989.9,
2019-03-18 00:00:00,5.4,4.3,9.2,16,,,34.1,,1001.5,
2019-03-19 00:00:00,7.5,5,10.5,,,,20.4,,1010.8,
2019-03-20 00:00:00,8.9,6.5,11,5.1,,,17.3,,1007.9,
2019-03-21 00:00:00,8.5,6.2,12,,,,9.3,,1006.6,
2019-03-22 00:00:00,7.4,6.4,12.5,0.8,,,10.5,,1007.4,
2019-03-23 00:00:00,9.7,7.5,13,,,,9.4,,1012.5,
2019-03-24 00:00:00,10.8,5.5,15.1,,,,15.5,,1010.5,
2019-03-25 00:00:00,5.8,3.2,15.2,7.1,,,30,,1012.8,
2019-03-26 00:00:00,9.3,6.5,12.5,,,,10.8,,1008.5,
