date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01 00:00:00,,,,,,,,,,
2019-01-02 00:00:00,,,,,,,,,,
2019-01-03 00:00:00,22.6,,37.9,25.9,,,,,,
2019-01-04 00:00:00,,,,,,,,,,
2019-01-05 00:00:00,,,,,,,,,,
2019-01-06 00:00:00,,,,,,,,,,
2019-01-07 00:00:00,24.3,17.3,32.9,13,,,,,,
2019-01-08 00:00:00,,,,,,,,,,
2019-01-09 00:00:00,25.9,,33.5,23.9,,,,,,
2019-01-10 00:00:00,21.3,18.7,33.4,7.9,,,,,,
2019-01-11 00:00:00,17.8,,23,0,,,,,,
2019-01-12 00:00:00,,,,,,,,,,
2019-01-13 00:00:00,,,,,,,,,,
2019-01-14 00:00:00,21.1,19.3,30.9,21.1,,,,,,
2019-01-15 00:00:00,,,,,,,,,,
2019-01-16 00:00:00,,,,,,,,,,
2019-01-17 00:00:00,23.4,,30.4,0,,,,,,
2019-01-18 00:00:00,19.1,15.8,27.8,5.1,,,,,,
2019-01-19 00:00:00,,,,,,,,,,
2019-01-20 00:00:00,,,,,,,,,,
2019-01-21 00:00:00,,,,,,,,,,
2019-01-22 00:00:00,,,,,,,,,,
2019-01-23 00:00:00,,,,,,,,,,
2019-01-24 00:00:00,29.7,25,37.3,1,,,,,,
2019-01-25 00:00:00,,,,,,,,,,
2019-01-26 00:00:00,27.3,,40.6,,,,,,,
2019-01-27 00:00:00,,,,,,,,,,
2019-01-28 00:00:00,,,,,,,,,,
2019-01-29 00:00:00,,,,,,,,,,
2019-01-30 00:00:00,27.6,,38.6,,,,,,,
2019-01-31 00:00:00,,,,,,,,,,
2019-02-01 00:00:00,24.1,22,27,24.9,,,,,,
2019-02-02 00:00:00,,,,,,,,,,
2019-02-03 00:00:00,21.8,18.2,27.3,54.1,,,,,,
2019-02-04 00:00:00,21.2,17.4,25.7,0,,,,,,
2019-02-05 00:00:00,,,,,,,,,,
2019-02-06 00:00:00,,,,,,,,,,
2019-02-07 00:00:00,,,,,,,,,,
2019-02-08 00:00:00,27.5,23.8,32.5,,,,,,,
2019-02-09 00:00:00,27.6,21.6,32,,,,,,,
2019-02-10 00:00:00,,,,,,,,,,
2019-02-11 00:00:00,26.2,,34,,,,,,,
2019-02-12 00:00:00,17.7,14.6,33.1,16,,,,,,
2019-02-13 00:00:00,,,,,,,,,,
2019-02-14 00:00:00,,,,,,,,,,
2019-02-15 00:00:00,,,,,,,,,,
2019-02-16 00:00:00,24.3,18.8,31.4,,,,,,,
2019-02-17 00:00:00,,,,,,,,,,
2019-02-18 00:00:00,,,,,,,,,,
2019-02-19 00:00:00,,,,,,,,,,
2019-02-20 00:00:00,,,,,,,,,,
2019-02-21 00:00:00,,,,,,,,,,
2019-02-22 00:00:00,,,,,,,,,,
2019-02-23 00:00:00,,,,,,,,,,
2019-02-24 00:00:00,26.3,23.5,31.2,,,,,,,
2019-02-25 00:00:00,20.6,,27.2,0,,,,,,
2019-02-26 00:00:00,,,,,,,,,,
2019-02-27 00:00:00,,,,,,,,,,
2019-02-28 00:00:00,,,,,,,,,,
2019-03-01 00:00:00,,,,,,,,,,
2019-03-02 00:00:00,,,,,,,,,,
2019-03-03 00:00:00,,,,,,,,,,
2019-03-04 00:00:00,26.3,,37,,,,,,,
2019-03-05 00:00:00,21.1,19.6,30.2,1,,,,,,
2019-03-06 00:00:00,,,,,,,,,,
2019-03-07 00:00:00,,,,,,,,,,
2019-03-08 00:00:00,22.2,,31.9,37.1,,,,,,
2019-03-09 00:00:00,16,,21.2,470.7,,,,,,
2019-03-10 00:00:00,,,,,,,,,,
2019-03-11 00:00:00,,,,,,,,,,
2019-03-12 00:00:00,,,,,,,,,,
2019-03-13 00:00:00,,,,,,,,,,
2019-03-14 00:00:00,23.3,17,30.5,,,,,,,
2019-03-15 00:00:00,23.2,,30.1,,,,,,,
2019-03-16 00:00:00,20.1,,27.6,38.1,,,,,,
